id,templated_rationales
3811d4f21fd46bf0c67c73846d8dc3348144eb328ef574b02d6a7e41ebb61615,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
02ef752e35def5ee652d63012bd6dd7cdefb32952b5c97275a78e0e43396c9d6,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
7e2b6a47405ba849e4d22d744960f3d150da4fb2045ae9497e8dab35cae449b8,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is pro immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
af036b1be259108cd8c328c6897046752f79a19427f469949ca563965ab38fa7,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
321d088d7caed4bb44b2ed877c34d2517179f90f63b60e27beaee0fcc9ab5048,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
cbb527f26d319a5ceab9652615dd80c911bf612e4c5a1b335545ee351183a5fc,"This news headline is Hyperpartisan. The headline does not contain Great Replacement Theory information. The headline stance is against immigration. The headline used loaded language: ""vigilância electrónica de migrantes"". The headline didn't use appeal to fear."
cd01d18b6c146f996dc79167c25a13a4daf54b08963534f830d6ab42ebe2143a,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
4a9c936ad45434c78ec926792a4f50f9dd5504d3117eb055c20cad33db4089ff,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
d5026b243c0108a567411a235e51d83376d9372a647798d8f246233acc9b2f9a,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
2ddc3ae7db6544abe9e8fac89f9f4eb504e57785e32acdf520d48022a0b32267,"This news headline is Hyperpartisan. The headline does not contain Great Replacement Theory information. The headline stance is pro immigration. The headline used loaded language: ""perigosa"", ""Caminho da Morte"". The headline used appeal to fear: ""Caminho da Morte"", ""perigosa""."
1613e4aab8fcaab9dafd24c7f587f1a5a18a4b106ee543cbf1d0c46b6533e82a,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
969cfac5a585e8354e9cf1743d3510d24adc8c521ef866bcf555188aa651e1db,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
9e1d3b69e02610f4c27b6158d4729bcf0b40adc7c87aeee284a786922f5f2841,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
9f6d69da99a893f4a51edbcd96fbff199a454ecffb2c211f6bb6dcf6f4512e82,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
fac5e8d1c763d3a74fc630ee9dd307280bf37ebef154f16f8cedd147c52d454e,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
1e670d35d68375f0be05341fd8aa3abbcd3212162be34c32b208ec6d95f41c9e,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
8f9bd4235d7310197b421332152bb4fae32ae1e3484e7684f55f8317b8cd7452,This news headline is Hyperpartisan. The headline does not contain Great Replacement Theory information. The headline stance is pro immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
29baefe6aa3d21194d8a5987c51cce90b03f05dd34793fe165ea3aa3aabcaa3e,"This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is pro immigration. The headline used loaded language: ""acolhe"", ""sem condições"". The headline didn't use appeal to fear."
56dd4657fce53f221c4a2f6cf7f9bd17151ebdf4fcd8dd26d14a1c121bcc44d1,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
4ec8085dc25c8d3b865e6bdfb8429f93c0949bc14e3892dede2fd27b0d37dd75,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
20c29839d9e5dbf5039bb50bbd3ae4e174fa05bfb29789e22c061a87a931a60e,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is pro immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
a7363347468d5c97a94421bea6e004108896a358103f951da29f841196651295,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
cbee12787a347aa64491a1a377c20595e42e799e9d81c1de722c0aa7c54295f2,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
5a9b775fd622d3431a7cef0cc30ce7e869dacb1357c610f94b45c7e86c77c9e5,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is against immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
8f2bfe8d058d705949923d371c20ff223f965b393cc37055b0889002960f15f5,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
bfa4b06d1dcb358d618d81e401e983aed0ed126d616c540512a508abb8044e62,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is pro immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
4f86234dec27aa5f603dee1c1114f4f933cb52ac72330145d75abc6ba277ca68,"This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is pro immigration. The headline used loaded language: ""condenado a prisão"", ""expulso"", ""sequestro e agressões"". The headline didn't use appeal to fear."
549ca193936cd402eeff15068d9b7eda4e3d4b31833d006d82054173e0a4efa3,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
81de39c6e7d42f314bbc3ce8b5c4e4ea51570ae5cd0348fea9ea56c31500263e,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
91ba640e3ad145c268d467d3d5a7529cb036c707e46995c0df111f1e649c76d5,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is pro immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
feb1a93166d6c9e10f81b1682396d52e0a43eb63195798897afd1559c0c6d592,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is against immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
890f311c54065d291583e3ddaaceb7040aad72b9bdc08426f1a32410769afd0c,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
2eea5a80c735b9cbe2b64730d53e279cbc149d7fc139bb2d8f0d8829700f6f77,"This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is pro immigration. The headline used loaded language: ""indiferença’ com as mortes"", ""lamenta ‘indiferença’ com as mortes"". The headline didn't use appeal to fear."
f40a8e51635e39e34241680b189864c0ee5f1b3b03df56f7d59e6bc5b93db2b1,"This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is against immigration. The headline used loaded language: ""mentalmente incapacitada"". The headline didn't use appeal to fear. The headline used name calling: ""mentalmente incapacitada""."
b4db18e9c4ebe8c44d56a5bf14f379bd949bfde4f1419bd7388bd721090c216f,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
c6a43d5a79f0a12402042aec065f92889f4d78097d93452f843f96e9eb6b15e5,"This news headline is Hyperpartisan. The headline does not contain Great Replacement Theory information. The headline stance is pro immigration. The headline used loaded language: ""Luxuoso"", ""esconde regiÃ£o pobre habitada por imigrantes"". The headline didn't use appeal to fear."
4e6ea3259b37b053bb2c6bb24ab2dc852018f58100185425e044496cd8090d05,"This news headline is Hyperpartisan. The headline does not contain Great Replacement Theory information. The headline stance is pro immigration. The headline used loaded language: ""alertam investigadores"", ""alinhar com as narrativas desinformativas europeias"". The headline didn't use appeal to fear."
0bc9992ba86867b58aa97476065c5c4a29fb4e4847c07829e9fc41690f9370b4,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
b11b05d7a10966d19ccdca1b20c99102d0b8f21315e22c82a1c90e045a2b8bd8,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
3e6f2bf2b9d9f48312086a6c72c9ba82ff01d614dda4f9be9c42b6cc6a79a968,"This news headline is Hyperpartisan. The headline does not contain Great Replacement Theory information. The headline stance is against immigration. The headline used loaded language: ""acusa"", ""violência de género"", ""imigrantes ilegais"". The headline used appeal to fear: ""violência de género""."
078f0bac7cbebad98a5614aa80cc599c0ee78a28e5bed4085b8c4bc4e0d3aa56,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
7d03a83f6992d9d8f4e3389236f4a72e955299a5b72767103be1de7b81b9f3ad,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is pro immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
84523df5d2bea05f4959d1e871d766125f990d25f1f80f51dc8c88cffd42f6aa,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
5a04dd7f9111f079559e0b24dbaf5b1f6156108867be8bb149890738f491656b,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
f06997155ebc187bb175215155a551ea13a53b71b35676d72631e927e56cd362,"This news headline is Hyperpartisan. The headline does not contain Great Replacement Theory information. The headline stance is against immigration. The headline used loaded language: """"envergonhado"" por viver num país sem políticas de imigração"". The headline didn't use appeal to fear."
d5f905e2438af604d31339f494603792bc516f768fa1e0a783cd4903f270d326,This news headline is Hyperpartisan. The headline contains Great Replacement Theory information. The headline stance is against immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
03f946f84b57fd8e7a581edf48c9f08a45e4b461b36ccfa3ddcc642d09f12208,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
8ef67a71193c98307b9865736167af666f7bed8851ec31bd54d063e161d473fc,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
2823d43e868d83043fcb7386b0f73dba9a52abb6735b99b374502eba1773e0be,"This news headline is Hyperpartisan. The headline does not contain Great Replacement Theory information. The headline stance is against immigration. The headline used loaded language: ""'Fora ilegais!':"". The headline didn't use appeal to fear."
5457e35751361c5a80e35951402eca5251b7d4fe4079ec1b9e37f6a19d1d047c,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is against immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
402faf1582c63ba4777eb63f9a30f4d56f71a5ccdd76dd02e08be4ae3656b722,"This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is against immigration. The headline used loaded language: ""'inaceitável' receber migrantes"". The headline didn't use appeal to fear."
7da86755cff31a66619fa0073828d72f5d230b57b6729df5bf100587117be809,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
4d18285fd632cd6dc3b9fe5e0b177cd7f213f2c07ee610ac91197356d55123ea,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
0f67e30fde3bf1229bb47781a84dfc18198e81853c01edfe94eca1373a14a352,"This news headline is Hyperpartisan. The headline does not contain Great Replacement Theory information. The headline stance is against immigration. The headline used loaded language: ""acolher imigrantes"", ""tocar hino"", ""hostilizada"". The headline used appeal to fear: ""é hostilizada""."
76e71962c4b18ba4aac3ef94e2abb45f77853800a69bdc79e4b93c079bfb2cb1,"This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is pro immigration. The headline used loaded language: ""Discurso de ódio"", ""punido"". The headline didn't use appeal to fear."
ab569ca5c3fa2e1611c8456663400af73e3370e9fc77e885e1e250c6a39698c1,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is against immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
27df35c1615b15fac0df99fce22f16c53c870b4e010551cd1f105beb69381488,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
c972f7baac9f3226713fa295b4c947e2a0d5173212e66ef37e8c2352a6a77820,"This news headline is Neutral. The headline contains Great Replacement Theory information. The headline stance is neutral immigration. The headline used loaded language: """"instrumentaliza migrantes"""". The headline didn't use appeal to fear."
2cf9907bd9ef65315611272748cb8ffecd1fba7aa9fa5247fd70b8568f5a87f2,"This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is against immigration. The headline used loaded language: ""defende leis severas de imigração"". The headline didn't use appeal to fear."
31937f641cd3bd0634f4813ef3ae51ebc9bfe72b75c90793d9c39cdc1617f616,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
1a7c09b9ef0019d800d334f8b9cae2dbd36f5b2fd00c1fa54d9e75ae44599de6,This news headline is Neutral. The headline does not contain Great Replacement Theory information. The headline stance is neutral immigration. The headline didn't use loaded language. The headline didn't use appeal to fear.
bc6371f0437b01ee392db1abb4b754564284323b7d690532548a1683f665503d,"This news headline is Hyperpartisan. The headline does not contain Great Replacement Theory information. The headline stance is pro immigration. The headline used loaded language: ""mina as esperanças"", ""Desinformação mina"". The headline didn't use appeal to fear."
